E dE CXB dCXB
15.0   2.0  43.92 12.71
17.0   2.0  46.82 10.35
19.0   2.0  48.58 8.65 
21.0   2.0  50.39 7.42 
24.0   4.0  50.96 5.28 
28.1   4.1  47.12 2.90 
32.2   4.1  45.26 2.72 
36.2   4.1  45.07 2.52 
41.4   6.3  44.00 2.34 
47.8   6.5  40.39 2.07 
54.3   6.5  37.33 1.89 
62.0   8.8  33.25 1.63 
70.9   9.0  32.99 1.79 
81.2   11.6 28.08 2.17 
92.9   11.8 26.25 3.50 
106.1  14.5 24.86 1.61 
120.8  15.0 23.18 1.93 
137.2  17.9 21.15 2.32 
156.8  21.2 18.95 2.62 
181.1  27.5 18.02 2.96
